tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,p1_id,p1_seed,p1_entry,p1_name,p1_hand,p1_ht,p1_ioc,p1_age,p2_id,p2_seed,p2_entry,p2_name,p2_hand,p2_ht,p2_ioc,p2_age,score,best_of,round,minutes,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,p1_rank,p1_rank_points,p2_rank,p2_rank_points,RESULT
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126127,0.0,0.0,0.0,0.0,183.0,0.0,28.813141683778234,105676,0.0,0.0,0.0,0.0,180.0,0.0,34.31759069130732,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,819,54,1029,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126205,0.0,0.0,0.0,0.0,185.0,0.0,27.876112251882272,106331,0.0,0.0,0.0,0.0,183.0,0.0,30.829568788501028,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3195,70,770,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,126610,0.0,0.0,0.0,0.0,196.0,0.0,28.971937029431896,111815,0.0,0.0,0.0,0.0,188.0,0.0,29.607802874743328,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1380,52,1082,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,105583,0.0,0.0,0.0,0.0,183.0,0.0,34.75564681724846,200175,0.0,0.0,0.0,0.0,183.0,0.0,25.58590006844627,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,717,51,1096,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,105173,0.0,0.0,0.0,0.0,180.0,0.0,36.75838466803559,111575,0.0,0.0,0.0,0.0,198.0,0.0,28.865160848733744,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,751,19,2410,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,208134,0.0,0.0,0.0,0.0,185.0,0.0,21.654346338124572,209113,0.0,0.0,0.0,0.0,203.0,0.0,23.520191649555098,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,675,86,646,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,111190,0.0,0.0,0.0,0.0,193.0,0.0,28.459958932238195,208029,0.0,0.0,0.0,0.0,188.0,0.0,21.92539356605065,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1140,13,2910,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,106432,0.0,0.0,0.0,0.0,188.0,0.0,28.380561259411362,106426,0.0,0.0,0.0,0.0,185.0,0.0,28.840520191649556,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,639,150,382,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,200116,0.0,0.0,0.0,0.0,185.0,0.0,25.791238877481177,210530,0.0,0.0,0.0,0.0,180.0,0.0,19.331279945242983,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,624,121,493,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,122330,0.0,0.0,0.0,0.0,196.0,0.0,27.791238877481177,202103,0.0,0.0,0.0,0.0,185.0,0.0,26.635181382614647,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,1330,31,1620,0
